y	yend	x	xend	key	showSelected.variable	showSelected.value	PANEL
0	0	118095.956	118096.308	McGill0002 118095956 118096308	McGill0002peaks	7	1
0	0	118099.638	118100.819	McGill0002 118099638 118100819	McGill0002peaks	7	1
0	0	118108.529	118112.96	McGill0002 118108529 118112960	McGill0002peaks	7	1
0	0	118122.138	118123.476	McGill0002 118122138 118123476	McGill0002peaks	7	1
0	0	118123.772	118123.814	McGill0002 118123772 118123814	McGill0002peaks	7	1
0	0	118093.877	118095.618	McGill0002 118093877 118095618	McGill0002peaks	8	1
0	0	118095.956	118096.308	McGill0002 118095956 118096308	McGill0002peaks	8	1
0	0	118099.638	118100.819	McGill0002 118099638 118100819	McGill0002peaks	8	1
0	0	118108.529	118108.958	McGill0002 118108529 118108958	McGill0002peaks	8	1
0	0	118109.847	118111.371	McGill0002 118109847 118111371	McGill0002peaks	8	1
0	0	118111.712	118112.962	McGill0002 118111712 118112962	McGill0002peaks	8	1
0	0	118122.138	118123.476	McGill0002 118122138 118123476	McGill0002peaks	8	1
0	0	118123.772	118123.814	McGill0002 118123772 118123814	McGill0002peaks	8	1
0	0	118093.121	118093.227	McGill0002 118093121 118093227	McGill0002peaks	9	1
0	0	118093.898	118095.618	McGill0002 118093898 118095618	McGill0002peaks	9	1
0	0	118095.956	118096.308	McGill0002 118095956 118096308	McGill0002peaks	9	1
0	0	118099.638	118100.819	McGill0002 118099638 118100819	McGill0002peaks	9	1
0	0	118108.529	118108.958	McGill0002 118108529 118108958	McGill0002peaks	9	1
0	0	118109.847	118111.371	McGill0002 118109847 118111371	McGill0002peaks	9	1
0	0	118111.712	118112.962	McGill0002 118111712 118112962	McGill0002peaks	9	1
0	0	118122.138	118123.476	McGill0002 118122138 118123476	McGill0002peaks	9	1
0	0	118123.772	118123.814	McGill0002 118123772 118123814	McGill0002peaks	9	1
0	0	118122.102	118123.825	McGill0091 118122102 118123825	McGill0091peaks	1	2
0	0	118098.697	118099.273	McGill0091 118098697 118099273	McGill0091peaks	2	2
0	0	118122.102	118123.825	McGill0091 118122102 118123825	McGill0091peaks	2	2
0	0	118098.697	118099.273	McGill0091 118098697 118099273	McGill0091peaks	3	2
0	0	118120.464	118121.311	McGill0091 118120464 118121311	McGill0091peaks	3	2
0	0	118122.118	118123.825	McGill0091 118122118 118123825	McGill0091peaks	3	2
0	0	118098.697	118099.273	McGill0091 118098697 118099273	McGill0091peaks	4	2
0	0	118122.104	118122.779	McGill0091 118122104 118122779	McGill0091peaks	4	2
0	0	118123.132	118123.371	McGill0091 118123132 118123371	McGill0091peaks	4	2
0	0	118123.773	118123.778	McGill0091 118123773 118123778	McGill0091peaks	4	2
0	0	118098.697	118099.273	McGill0091 118098697 118099273	McGill0091peaks	5	2
0	0	118120.464	118121.311	McGill0091 118120464 118121311	McGill0091peaks	5	2
0	0	118122.126	118122.779	McGill0091 118122126 118122779	McGill0091peaks	5	2
0	0	118123.132	118123.371	McGill0091 118123132 118123371	McGill0091peaks	5	2
0	0	118123.773	118123.778	McGill0091 118123773 118123778	McGill0091peaks	5	2
0	0	118098.697	118099.273	McGill0091 118098697 118099273	McGill0091peaks	6	2
0	0	118100.037	118100.689	McGill0091 118100037 118100689	McGill0091peaks	6	2
0	0	118120.464	118121.311	McGill0091 118120464 118121311	McGill0091peaks	6	2
0	0	118122.126	118122.779	McGill0091 118122126 118122779	McGill0091peaks	6	2
0	0	118123.132	118123.371	McGill0091 118123132 118123371	McGill0091peaks	6	2
0	0	118123.773	118123.778	McGill0091 118123773 118123778	McGill0091peaks	6	2
0	0	118098.697	118099.273	McGill0091 118098697 118099273	McGill0091peaks	7	2
0	0	118100.037	118100.689	McGill0091 118100037 118100689	McGill0091peaks	7	2
0	0	118120.464	118121.311	McGill0091 118120464 118121311	McGill0091peaks	7	2
0	0	118122.126	118122.779	McGill0091 118122126 118122779	McGill0091peaks	7	2
0	0	118123.132	118123.371	McGill0091 118123132 118123371	McGill0091peaks	7	2
0	0	118123.773	118123.778	McGill0091 118123773 118123778	McGill0091peaks	7	2
0	0	118124.688	118126.8	McGill0091 118124688 118126800	McGill0091peaks	7	2
0	0	118095.124	118095.67	McGill0091 118095124 118095670	McGill0091peaks	8	2
0	0	118098.697	118099.273	McGill0091 118098697 118099273	McGill0091peaks	8	2
0	0	118100.037	118100.689	McGill0091 118100037 118100689	McGill0091peaks	8	2
0	0	118120.464	118121.311	McGill0091 118120464 118121311	McGill0091peaks	8	2
0	0	118122.126	118122.779	McGill0091 118122126 118122779	McGill0091peaks	8	2
0	0	118123.132	118123.371	McGill0091 118123132 118123371	McGill0091peaks	8	2
0	0	118123.773	118123.778	McGill0091 118123773 118123778	McGill0091peaks	8	2
0	0	118124.688	118126.8	McGill0091 118124688 118126800	McGill0091peaks	8	2
0	0	118095.124	118095.67	McGill0091 118095124 118095670	McGill0091peaks	9	2
0	0	118098.697	118099.273	McGill0091 118098697 118099273	McGill0091peaks	9	2
0	0	118100.037	118100.702	McGill0091 118100037 118100702	McGill0091peaks	9	2
0	0	118101.099	118101.269	McGill0091 118101099 118101269	McGill0091peaks	9	2
0	0	118120.464	118121.311	McGill0091 118120464 118121311	McGill0091peaks	9	2
0	0	118122.126	118122.779	McGill0091 118122126 118122779	McGill0091peaks	9	2
0	0	118123.132	118123.371	McGill0091 118123132 118123371	McGill0091peaks	9	2
0	0	118123.773	118123.778	McGill0091 118123773 118123778	McGill0091peaks	9	2
0	0	118124.688	118126.8	McGill0091 118124688 118126800	McGill0091peaks	9	2
0	0	118122.389	118123.653	McGill0322 118122389 118123653	McGill0322peaks	1	3
0	0	118122.396	118123.384	McGill0322 118122396 118123384	McGill0322peaks	2	3
0	0	118123.823	118123.888	McGill0322 118123823 118123888	McGill0322peaks	2	3
0	0	118115.802	118116.642	McGill0322 118115802 118116642	McGill0322peaks	3	3
0	0	118122.396	118123.384	McGill0322 118122396 118123384	McGill0322peaks	3	3
0	0	118123.823	118123.888	McGill0322 118123823 118123888	McGill0322peaks	3	3
0	0	118109.813	118110.793	McGill0322 118109813 118110793	McGill0322peaks	4	3
0	0	118115.802	118116.642	McGill0322 118115802 118116642	McGill0322peaks	4	3
0	0	118122.396	118123.384	McGill0322 118122396 118123384	McGill0322peaks	4	3
0	0	118123.823	118123.888	McGill0322 118123823 118123888	McGill0322peaks	4	3
0	0	118096.622	118100.74	McGill0322 118096622 118100740	McGill0322peaks	5	3
0	0	118109.813	118110.793	McGill0322 118109813 118110793	McGill0322peaks	5	3
0	0	118115.802	118116.642	McGill0322 118115802 118116642	McGill0322peaks	5	3
0	0	118122.396	118123.384	McGill0322 118122396 118123384	McGill0322peaks	5	3
0	0	118123.823	118123.888	McGill0322 118123823 118123888	McGill0322peaks	5	3
0	0	118094.639	118104.928	McGill0322 118094639 118104928	McGill0322peaks	6	3
0	0	118105.279	118107.146	McGill0322 118105279 118107146	McGill0322peaks	6	3
0	0	118109.813	118110.793	McGill0322 118109813 118110793	McGill0322peaks	6	3
0	0	118115.802	118116.642	McGill0322 118115802 118116642	McGill0322peaks	6	3
0	0	118122.396	118123.384	McGill0322 118122396 118123384	McGill0322peaks	6	3
0	0	118123.823	118123.888	McGill0322 118123823 118123888	McGill0322peaks	6	3
0	0	118096.321	118102.259	McGill0322 118096321 118102259	McGill0322peaks	7	3
0	0	118102.728	118104.928	McGill0322 118102728 118104928	McGill0322peaks	7	3
0	0	118105.279	118107.146	McGill0322 118105279 118107146	McGill0322peaks	7	3
0	0	118109.813	118110.793	McGill0322 118109813 118110793	McGill0322peaks	7	3
0	0	118115.802	118116.642	McGill0322 118115802 118116642	McGill0322peaks	7	3
0	0	118122.396	118123.384	McGill0322 118122396 118123384	McGill0322peaks	7	3
0	0	118123.823	118123.888	McGill0322 118123823 118123888	McGill0322peaks	7	3
0	0	118091.152	118093.848	McGill0322 118091152 118093848	McGill0322peaks	8	3
0	0	118094.561	118102.259	McGill0322 118094561 118102259	McGill0322peaks	8	3
0	0	118102.728	118104.928	McGill0322 118102728 118104928	McGill0322peaks	8	3
0	0	118105.279	118107.146	McGill0322 118105279 118107146	McGill0322peaks	8	3
0	0	118109.813	118110.793	McGill0322 118109813 118110793	McGill0322peaks	8	3
0	0	118115.802	118116.642	McGill0322 118115802 118116642	McGill0322peaks	8	3
0	0	118122.396	118123.384	McGill0322 118122396 118123384	McGill0322peaks	8	3
0	0	118123.823	118123.888	McGill0322 118123823 118123888	McGill0322peaks	8	3
0	0	118091.152	118093.848	McGill0322 118091152 118093848	McGill0322peaks	9	3
0	0	118094.561	118102.259	McGill0322 118094561 118102259	McGill0322peaks	9	3
0	0	118102.728	118104.928	McGill0322 118102728 118104928	McGill0322peaks	9	3
0	0	118105.279	118107.146	McGill0322 118105279 118107146	McGill0322peaks	9	3
0	0	118109.813	118110.793	McGill0322 118109813 118110793	McGill0322peaks	9	3
0	0	118115.802	118117.744	McGill0322 118115802 118117744	McGill0322peaks	9	3
0	0	118121.33	118121.453	McGill0322 118121330 118121453	McGill0322peaks	9	3
0	0	118122.423	118123.384	McGill0322 118122423 118123384	McGill0322peaks	9	3
0	0	118123.823	118123.888	McGill0322 118123823 118123888	McGill0322peaks	9	3
0	0	118121.934	118123.442	McGill0004 118121934 118123442	McGill0004peaks	1	4
0	0	118093.873	118095.648	McGill0004 118093873 118095648	McGill0004peaks	2	4
0	0	118121.934	118123.442	McGill0004 118121934 118123442	McGill0004peaks	2	4
0	0	118093.873	118095.649	McGill0004 118093873 118095649	McGill0004peaks	3	4
0	0	118109.96	118111.333	McGill0004 118109960 118111333	McGill0004peaks	3	4
0	0	118121.934	118123.442	McGill0004 118121934 118123442	McGill0004peaks	3	4
0	0	118093.64	118095.707	McGill0004 118093640 118095707	McGill0004peaks	4	4
0	0	118096.982	118100.869	McGill0004 118096982 118100869	McGill0004peaks	4	4
0	0	118109.952	118111.333	McGill0004 118109952 118111333	McGill0004peaks	4	4
0	0	118121.934	118123.442	McGill0004 118121934 118123442	McGill0004peaks	4	4
0	0	118093.64	118095.707	McGill0004 118093640 118095707	McGill0004peaks	5	4
0	0	118096.982	118100.869	McGill0004 118096982 118100869	McGill0004peaks	5	4
0	0	118109.93	118112.666	McGill0004 118109930 118112666	McGill0004peaks	5	4
0	0	118121.026	118121.415	McGill0004 118121026 118121415	McGill0004peaks	5	4
0	0	118121.934	118123.442	McGill0004 118121934 118123442	McGill0004peaks	5	4
0	0	118093.603	118094.362	McGill0004 118093603 118094362	McGill0004peaks	6	4
0	0	118094.486	118095.648	McGill0004 118094486 118095648	McGill0004peaks	6	4
0	0	118096.982	118100.869	McGill0004 118096982 118100869	McGill0004peaks	6	4
0	0	118109.93	118112.666	McGill0004 118109930 118112666	McGill0004peaks	6	4
0	0	118121.026	118121.415	McGill0004 118121026 118121415	McGill0004peaks	6	4
0	0	118121.934	118123.442	McGill0004 118121934 118123442	McGill0004peaks	6	4
0	0	118093.603	118094.362	McGill0004 118093603 118094362	McGill0004peaks	7	4
0	0	118094.486	118095.648	McGill0004 118094486 118095648	McGill0004peaks	7	4
0	0	118096.982	118100.869	McGill0004 118096982 118100869	McGill0004peaks	7	4
0	0	118108.246	118108.465	McGill0004 118108246 118108465	McGill0004peaks	7	4
0	0	118108.787	118112.666	McGill0004 118108787 118112666	McGill0004peaks	7	4
0	0	118121.026	118121.415	McGill0004 118121026 118121415	McGill0004peaks	7	4
0	0	118121.934	118123.442	McGill0004 118121934 118123442	McGill0004peaks	7	4
0	0	118093.603	118094.362	McGill0004 118093603 118094362	McGill0004peaks	8	4
0	0	118094.486	118095.648	McGill0004 118094486 118095648	McGill0004peaks	8	4
0	0	118096.982	118099.199	McGill0004 118096982 118099199	McGill0004peaks	8	4
0	0	118100.217	118100.84	McGill0004 118100217 118100840	McGill0004peaks	8	4
0	0	118108.246	118108.465	McGill0004 118108246 118108465	McGill0004peaks	8	4
0	0	118108.787	118112.666	McGill0004 118108787 118112666	McGill0004peaks	8	4
0	0	118121.026	118121.415	McGill0004 118121026 118121415	McGill0004peaks	8	4
0	0	118121.934	118123.442	McGill0004 118121934 118123442	McGill0004peaks	8	4
0	0	118093.603	118094.362	McGill0004 118093603 118094362	McGill0004peaks	9	4
0	0	118094.486	118095.648	McGill0004 118094486 118095648	McGill0004peaks	9	4
0	0	118096.982	118099.199	McGill0004 118096982 118099199	McGill0004peaks	9	4
0	0	118100.217	118100.84	McGill0004 118100217 118100840	McGill0004peaks	9	4
0	0	118108.246	118108.465	McGill0004 118108246 118108465	McGill0004peaks	9	4
0	0	118108.787	118112.666	McGill0004 118108787 118112666	McGill0004peaks	9	4
0	0	118117.972	118118.144	McGill0004 118117972 118118144	McGill0004peaks	9	4
0	0	118121.184	118121.389	McGill0004 118121184 118121389	McGill0004peaks	9	4
0	0	118121.934	118123.442	McGill0004 118121934 118123442	McGill0004peaks	9	4
